,0,1,2,3,4,5,6
1,0.0,0.0,0.0,41.7037290455012,47.998631542935335,10.297639411563463,0.0
2,0.0,0.0,0.022857142857142857,42.86857142857143,46.46857142857143,10.639999999999999,0.0
3,0.0,0.0,0.0,44.019518837948254,45.47208352246936,10.508397639582387,0.0
4,0.0,0.011418131993605847,0.011418131993605847,44.09682575930578,45.56976478648093,10.310573190226078,0.0
5,0.0,0.0,0.011361054305839582,42.70620313565099,46.705294251306526,10.57714155873665,0.0
6,0.0,0.0,0.02275830678197542,43.912152935821574,45.64178425125171,10.423304506144742,0.0
7,0.0,0.011435105774728416,0.03430531732418524,43.03030303030303,46.5980560320183,10.325900514579759,0.0
8,0.0,0.0,0.0,43.86265115217887,45.52817704768423,10.609171800136892,0.0
9,0.0,0.0,0.011467889908256881,44.11697247706422,45.27522935779816,10.596330275229358,0.0
10,0.0,0.0,0.03417245699965828,43.057295819569426,46.49732315753503,10.411208565895889,0.0
mean,0.0,0.0022853237768334263,0.01483403001706641,43.337422362191475,46.175491537805094,10.469966746209522,0.0
std,0.0,0.00457064912953325,0.01255179846842735,0.7560313448722685,0.7967798819020699,0.12597954332287542,0.0
dispersion,0.0,2.089083346530306e-05,0.00015754764479201518,0.5715833944293711,0.6348581802038765,0.015870845335840246,0.0
