,0,1,2,3,4,5,6
1,0.0,0.0,0.012365524916532707,45.51749721775689,44.45406207493508,10.016075182391493,0.0
2,0.0,0.0,0.02457606291472106,46.46104694028016,44.42123371835832,9.093143278446792,0.0
3,0.0,0.0,0.012425447316103379,45.97415506958251,44.45825049701789,9.5551689860835,0.0
4,0.0,0.0,0.0,45.611207537813044,44.79295809571039,9.595834366476568,0.0
5,0.0,0.0,0.0,44.20750717047014,45.96583115101633,9.826661678513531,0.0
6,0.0,0.0,0.012408487405385284,45.15448566819705,45.179302643007816,9.653803201389751,0.0
7,0.0,0.012362467548522686,0.0,45.110644084559276,44.912844603782915,9.964148844109284,0.0
8,0.0,0.0,0.012331976815883588,44.28412874583796,45.924281662350474,9.779257614995684,0.0
9,0.0,0.012464165524118161,0.0,45.955378287423656,44.49707092110183,9.522622460426275,0.012464165524118161
10,0.0,0.0,0.02494387627837366,44.86156148665503,45.16088800199551,9.940134696931903,0.01247193813918683
mean,0.0,0.0024826633072640844,0.009905137564699967,45.31376122085757,44.976672336927656,9.694685030976478,0.002493610366330499
std,0.0,0.004965378687759251,0.009265033673800561,0.6963541207888663,0.5540424364934768,0.26135871610889766,0.004987221035502734
dispersion,0.0,2.4654985512853783e-05,8.584084897665833e-05,0.4849090615396349,0.30696302143562837,0.06830837848609135,2.4872373656960958e-05
